"name","address","phone","U-pick pumpkins","Mazes & events","Rides","Seasonal treats","Fall décor","description","more","farm","features","url"
"ME & Moore","34137 Seavey Loop Road Eugene OR","541-741-4790","&check;",,,,"&check;","U-pick pumpkin patch opens in October; also plenty of fall décor, with ornamental gourds and squash, as well as cold weather crops including fall apples, broccoli, cabbage, etc. Pears, too. Weekend hours: 8:30 a.m. to 6 p.m. Saturdays and closed Sunday.",,"ME & Moore","PF",
"<a href='http://www.northernlightschristmastreefarm.com'>Northern Lights Christmas Tree Farm</a>","36777 Wheeler Road Pleasant Hill OR","541-746-5161","&check;","&check;","&check;","&check;","&check;","Annual Colonial Harvest Days are underway from Oct. 1- through Oct. 31. Highlights include a life-size “Hayflower” where visitors can learn about the Mayflower; hayrides to the U-pick pumpkin patch with Pilgrim Bob; giant pumpkins on display; U-pick sunflowers; a menagerie of farm animals; fall decor in the country store; and pie-eating contests. Among seasonal produce favorites, there’s also farm-raised beef, poultry and eggs available for sale. Weekend hours: 10 a.m. to 5 p.m. Saturday and noon to 5 p.m. Sunday.",,"Northern Lights Christmas Tree Farm","PMHTF","http://www.northernlightschristmastreefarm.com"
"<a href='http://mckenzieriverfarm.com'>Organic Redneck</a>","44382 McKenzie Highway Leaburg OR","541-896-3928","&check;",,,,,"Enjoy U-pick patches of heirloom winter squash and pumpkin varieties. Farm stand stocks carrots, beets, onions and other produce. Weekend hours: 9 a.m. to 6 p.m. Saturdays and Sundays.",,"Organic Redneck","P","http://mckenzieriverfarm.com"
"Patton’s Country Farms","80432 Delight Valley School Road Cottage Grove OR","541-942-7672","&check;",,,,"&check;","Fall highlights include a U-pick pumpkin patch, fall décor with gourds, winter squash and fall produce including apples, and U-pick fall flowers — dahlias and sunflowers — while they last. Weekend hours: 10 a.m. to 5 p.m. Saturday and noon to 5 p.m. Sunday.",,"Patton’s Country Farms","PF",
"Red Hat Melons “The Melon Shack”","Garden Avenue and Highway 20 Corvallis OR","541-207-6010","&check;","&check;",,"&check;","&check;","If you’re looking for an adventure outside of Eugene-Springfield, The Melon Shack has a non-haunted corn maze open daily throughout October ($7 for ages 12 and older; $5 for 11 and younger). The corn maze turns haunted 7:30 p.m. to 10 p.m. weekend nights from ($15 Fridays and Saturdays; $13 Sundays). Other goodies on the farm include U-pick pumpkins, a hay bale fort, fall décor including gourds and corn stalks, and various delicious treats such as doughnuts and kettle corn. Weekend hours: 10 a.m. to 6 p.m. Saturdays and Sundays.",,"Red Hat Melons “The Melon Shack”","PMTF",
"<a href='river-bend-farm.com'>River Bend Farms and Pleasant Hil Orchard</a>","35031 Fremont Ave. Eugene OR","541-520-2561",,,,"&check;",,"No pumpkins here, but there are plenty of seasonal farm-grown goodies including apples and apple cider, Asian pears, European pears and hazelnuts. Weekend hours: 9 a.m. to 5:30 p.m. Saturdays, closed Sundays, through October.",,"River Bend Farms and Pleasant Hill Orchard","T","river-bend-farm.com"
"<a href='http://www.shadyoaksplantsandproduce.com'>Shady Oaks Plants & Produce</a>","77380 Highway 99 Cottage Grove OR","541-942-5004","&check;","&check;","&check;",,,"In this red barn setting, there are plenty of special events this October, with a Bounce House from noon to 4 p.m. Oct. 4, face painting and “prizes in the hay” from 10 a.m. to 4:30 p.m. Oct. 11, tasty goodies with the characters of “The Wizard of Oz” from 9 a.m. to noon Oct. 18, and Jack Spy Night from 6 p.m. to 9 p.m. Oct. 25, with live music and haunted hay rides ($3). During the day Oct. 25, pumpkin carving for Jack Spy Night begins at 9 a.m., with free pumpkins for the first 50 visitors. Weekend hours: 10 a.m. to 5:30 p.m. Saturdays and Sundays, unless otherwise noted.",,"Shady Oaks Plants & Produce","PMH","http://www.shadyoaksplantsandproduce.com"
"<a href='http://www.thistledownfarms.net'>Thistledown Farm</a>","91455 River Road Eugene OR","541-689-2019","&check;",,"&check;","&check;","&check;","This farm is brimming with varieties of apples and other seasonal produce, as well as plenty of fall décor, including corn stalks and Indian corn, gourds and fall mums. Take a horse-drawn wagon ride on weekends to the U-pick pumpkin patch ($3 per person). There are also U-cut sunflowers, while they last. Treats include ice cream, jams and jellies, doughnuts and pastries, and apple cider. Weekend hours: 9 a.m. to 6 p.m. Saturdays and Sundays.",,"Thistledown Farm","PHTF","http://www.thistledownfarms.net"
"Haunted Hay Rides at Dorris Ranch","205 Dorris Street Springfield OR","541-736-4544",,"&check;",,"&check;",,"Rides take off every 10 minutes starting at 6:10 p.m. and the last ride leaving at 8:40 p.m. Oct. 20-22. Ghosts, zombies, mummies and even historic figures will emerge from the shadows of the filbert orchards for some not-too-scary spooking. Also crafts, games, cider and hot cocoa. Registration begins Wednesday, Oct. 1; the event sells out quickly. Call 541-736-4544 to reserve your spot. Cost is $6 for in-district (Willamalane Parks and Recreation District), $7.50 for out of district.",,"Haunted Hay Rides at Dorris Ranch","MT",
"Nearby Nature’s Haunted Walk","Alton Baker Park 100 Day Island Road Eugene OR","541-687-9699",,"&check;",,"&check;",,"Nature guides will lead special night-time hikes — they last about an hour — along pumpkin-lit trails where costumed creatures are bound to appear from 5:30 p.m. to 9 p.m. Oct. 18. There also will be crafts and seasonal treats. Event goes on rain or shine. Registration is required by calling 541-687-9699. $5, and free for Nearby Nature members. Groups are welcome.",,"Nearby Nature’s Haunted Walk","MT",
